BIB,fullname,gender,WS_1,WS_2,WS_3,Finish,time,pos,Gander Rank,Status
84,IKMAN PUTRA,MALE,6:54:56,7:33:48,9:15:37,10:49:23,4:49:23,56,47,FINISH
85,YOGA WICAKSONO,MALE,6:59:19,7:39:35,9:16:14,10:50:49,4:50:49,57,48,FINISH
38,M HENDI S,MALE,6:59:21,7:38:46,9:12:25,10:53:25,4:53:25,58,49,FINISH
80,MOCH ANSORI,MALE,6:59:23,7:38:48,9:12:35,10:53:40,4:53:40,59,50,FINISH
74,MOCHAMAD KASFUL A,MALE,6:59:11,7:44:49,9:17:14,10:59:21,4:59:21,60,51,FINISH
92,HAIKAL ZAKY A,MALE,6:54:27,7:36:47,9:14:56,10:59:39,4:59:39,61,52,FINISH
95,SUTIKNO,MALE,6:59:19,7:46:01,9:43:03,11:01:30,5:01:30,62,53,FINISH
94,RAISSA AZALIA,FEMALE,6:59:10,7:43:31,9:20:53,11:03:33,5:03:33,63,10,FINISH
30,ASBIT IMAN S,MALE,6:59:10,7:43:32,9:20:06,11:03:36,5:03:36,64,54,FINISH
8,ARDIANSYAH JASMAN,MALE,7:06:41,7:49:14,9:22:53,11:24:38,5:16:11,65,55,FINISH
68,SUSUK SUGIANTO,MALE,7:02:00,7:47:47,9:33:31,11:16:12,5:16:12,66,56,FINISH
17,KRISTI EVI,FEMALE,7:09:16,7:59:37,9:38:12,11:35:08,5:35:08,67,11,FINISH
47,MANFIR,MALE,7:13:42,7:59:43,9:43:12,11:40:30,5:40:30,68,57,FINISH
71,AKHMAD MUSAFAK,MALE,7:19:31,8:28:45,9:56:18,11:43:03,5:43:03,69,58,FINISH
28,IZMA FITRIA Y,FEMALE,7:00:36,7:43:59,9:30:14,11:47:04,5:47:04,70,12,FINISH
3,SUWITO SETYO B,MALE,7:06:36,7:54:20,9:45:34,11:53:03,5:53:03,71,58,FINISH
39,BREEZE MARINGKA,MALE,7:06:57,7:54:36,9:45:25,11:51:14,5:51:14,72,59,FINISH
43,INDHARTA HARVIANSYAH,MALE,7:10:57,8:05:51,9:57:21,11:58:41,5:58:41,73,60,FINISH
46,DENO BIANTORO,MALE,7:18:12,8:25:48,9:55:04,12:17:49,6:17:49,74,61,FINISH
42,SUSILOWATI,FEMALE,7:08:32,7:59:46,9:44:37,12:17:51,6:17:51,75,13,FINISH
70,SENNA NOVIAN S,MALE,7:19:02,8:28:32,10:10:06,12:45:12,6:45:12,76,62,FINISH
9,WARTINI NALA A,FEMALE,7:06:47,7:51:45,9:30:44,,,77,14,DNF
48,DIDIK PUDJIANTORO,MALE,6:57:15,7:36:51,8:50:06,,,78,63,DNF
75,AHMAD NUR M,MALE,7:19:34,7:33:56,9:20:56,,,79,64,DNF
40,HAROLD M. A. T,MALE,6:55:45,7:43:58,9:21:36,,,80,65,DNF
72,HARIADI,MALE,6:59:15,7:44:57,9:22:41,,,81,66,DNF
10,NURUL FADHILAH,FEMALE,7:06:53,7:51:48,9:31:04,,,82,15,DNF
56,DAVIDSON,MALE,7:02:11,7:48:34,9:33:38,,,83,68,DNF
96,NEZ,FEMALE,7:08:55,7:56:12,9:38:12,,,84,16,DNF
19,TITI HERMANSYAH,MALE,7:11:39,7:59:39,9:38:18,,,85,69,DNF
